,city,id
0,charlottesville,USW00093736
1,arlington,USW00013743
2,augusta,USC00448062
3,bedford,USC00440551
4,chesterfield,USW00000153
5,fairfax,USW00093738
6,front royal,USC00443229
7,frederick,USC00449186
8,hanover,USW00093775
9,henrico,USW00013740
10,williamsburg,USC00449151
11,loudon,USC00444909
12,montgomery,USC00440766
13,manassas,USC00445204
14,roanoke,USW00013741
15,rockingham,USC00442208
16,fredericksburg,USC00442009
17,stafford,USW00013773
18,york,USW00093741
19,lynchburg,USW00013733
20,alexandria,USW00013743
21,chesapeake,USW00013762
22,hampton,USW00013737
23,newportnews,USW00093741
24,norfolk,USW00013737
25,portsmouth,USW00013737
26,richmond,USW00013740
27,suffolk,USC00448192
28,Virginia Beach,USW00013769
